Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top4,2020,1,January,2020-01,2020-01-22 07:45:00,2020-01-24 12:00:00,10000.0,10189.986983052164,1.8998698305216388,0.0,6.907445920604577,1,100.0
top4,2020,2,February,2020-02,2020-02-06 08:00:00,2020-02-27 12:15:00,10189.986983052164,10384.747557439003,1.9112936523938862,-1.5922823276755094,19.026651213520307,2,50.0
top4,2020,3,March,2020-03,2020-03-01 12:00:00,2020-03-29 08:00:00,10384.747557439003,9369.668937015816,-9.774706749573758,-19.193609524452494,67.23381990138718,6,50.0
top4,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 12:00:00,9369.668937015816,10011.204832385683,6.8469430423033995,-0.9542167115370703,16.779764736281457,3,33.33333333333333
top4,2020,5,May,2020-05,2020-05-01 04:45:00,2020-05-28 08:45:00,10208.870760624157,10548.86559005068,3.3303862630712278,0.0,8.314740097410468,4,25.0
top4,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,10548.86559005068,11200.34455662243,6.17582014872009,-1.183783368475122,25.276415632060427,4,25.0
top4,2020,7,July,2020-07,2020-07-03 08:45:00,2020-07-31 08:00:00,11200.34455662243,11727.243716633753,4.704312062433669,0.0,9.140581558769341,3,33.33333333333333
top4,2020,8,August,2020-08,2020-08-02 16:45:00,2020-08-31 22:30:00,11486.12226540445,12729.261743941508,10.822969230279945,-2.2100118624009735,21.512207217557044,5,20.0
top4,2020,9,September,2020-09,2020-09-01 02:00:00,2020-09-30 08:00:00,12923.359449148349,17344.46893036076,34.21021831520565,0.0,43.235928563492884,7,42.857142857142854
top4,2020,10,October,2020-10,2020-10-01 19:15:00,2020-10-31 08:00:00,17487.25851581121,17421.169818119834,-0.37792486244553336,-1.5985419829392389,6.930769226654439,3,33.33333333333333
top4,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-29 09:00:00,17461.22687055673,21713.890812897913,24.35489770488042,-6.382021879486799,34.62844016701883,7,42.857142857142854
top4,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 07:00:00,22355.36530415214,23355.58374256985,4.474176220381132,-5.926253235930156,34.05756177655038,4,50.0
top4,2021,1,January,2021-01,2021-01-02 01:45:00,2021-01-31 07:45:00,23514.99975974946,35670.32165875669,51.691779813723215,-2.7691921849369305,35.23811397328663,10,80.0
top4,2021,2,February,2021-02,2021-02-01 07:00:00,2021-02-28 07:30:00,35670.32165875669,43165.400090384595,21.012085350197385,-10.441736529779755,38.07215787074934,7,71.42857142857143
top4,2021,3,March,2021-03,2021-03-02 21:30:00,2021-03-28 07:00:00,43209.028571384355,54979.50781252295,27.240786544629046,-8.618560008949371,39.619801321539185,7,85.71428571428571
top4,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-30 07:00:00,54979.50781252295,62131.85326697512,13.009111465386836,-13.18939088273986,74.72662697168148,10,50.0
top4,2021,5,May,2021-05,2021-05-02 10:30:00,2021-05-31 07:00:00,62893.9854698306,68983.14934829855,9.681631451689189,-6.05235427793308,46.429750351357995,6,33.33333333333333
top4,2021,6,June,2021-06,2021-06-04 08:00:00,2021-06-28 08:45:00,68983.14934829855,71186.24239936628,3.193668413055817,-13.782259540283848,62.31363074741032,6,66.66666666666666
top4,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-31 20:45:00,71186.24239936628,76016.48036942109,6.785353190798293,-5.997548317579692,35.19032958615625,3,33.33333333333333
top4,2021,8,August,2021-08,2021-08-02 01:45:00,2021-08-31 07:00:00,80662.0230592248,99856.41199732103,23.796066860365084,-3.7450637727655223,33.009169153260984,6,50.0
top4,2021,9,September,2021-09,2021-09-01 02:30:00,2021-09-30 12:00:00,102031.93584162234,124342.41307344317,21.86617067273129,-2.5774112807223526,23.843696551476228,6,66.66666666666666
top4,2021,10,October,2021-10,2021-10-01 05:00:00,2021-10-30 03:30:00,125292.20494273021,121051.2900354803,-3.384819438039577,-8.581496994510152,29.8529647754355,9,44.44444444444444
top4,2021,11,November,2021-11,2021-11-03 03:30:00,2021-11-28 07:00:00,121051.2900354803,120109.96321812039,-0.7776264235465846,-6.871485531641208,26.690193661077167,6,50.0
top4,2021,12,December,2021-12,2021-12-01 03:30:00,2021-12-31 23:00:00,120109.96321812039,125755.4312277598,4.700249553309077,-1.703820130122402,15.600337613937453,4,25.0
top4,2022,1,January,2022-01,2022-01-02 07:00:00,2022-01-30 03:30:00,125755.4312277598,137799.4107858237,9.577303692156768,-0.14239474776066574,11.875006899472492,4,75.0
top4,2022,2,February,2022-02,2022-02-03 07:00:00,2022-02-28 07:00:00,137799.4107858237,155963.74401682263,13.181720536694485,-4.024545915434374,35.425255208034905,4,50.0
top4,2022,3,March,2022-03,2022-03-03 07:00:00,2022-03-31 07:00:00,155963.74401682263,182352.1521932305,16.919578548692414,-4.233470212233303,28.679461694348763,3,33.33333333333333
top4,2022,4,April,2022-04,2022-04-01 08:15:00,2022-04-30 03:45:00,186719.6782611669,225690.23744020532,20.87115806001436,-4.997342148321127,38.960253530977425,5,40.0
top4,2022,5,May,2022-05,2022-05-02 07:00:00,2022-05-30 15:00:00,225690.23744020532,200293.83435444316,-11.252769891072811,-17.28557774831797,67.69096407099423,5,40.0
top4,2022,6,June,2022-06,2022-06-02 02:00:00,2022-06-28 02:45:00,197974.34650246773,210531.3426899169,6.342739051442026,-8.754204023813273,46.14746439397021,5,20.0
top4,2022,7,July,2022-07,2022-07-01 08:00:00,2022-07-31 12:45:00,210531.3426899169,245360.3725452403,16.54339416180026,-0.7676251511041787,14.257543566388268,5,80.0
top4,2022,8,August,2022-08,2022-08-01 00:45:00,2022-08-30 07:00:00,249544.76557205172,270799.38656646595,8.517357976109242,-2.503894188229394,20.979512068220785,4,50.0
top4,2022,9,September,2022-09,2022-09-03 03:30:00,2022-09-30 01:45:00,270799.38656646595,294763.45301009825,8.849379885042863,-2.286275633047885,18.432466798023945,6,33.33333333333333
top4,2022,10,October,2022-10,2022-10-01 03:30:00,2022-10-31 07:00:00,294763.45301009825,308428.6586423882,4.635990484146535,0.0,8.314050948680737,3,33.33333333333333
top4,2022,11,November,2022-11,2022-11-01 14:30:00,2022-11-30 04:00:00,323162.0649948479,326430.9273740212,1.0115241648877893,-11.48318785365079,44.965827531511664,4,25.0
top4,2022,12,December,2022-12,2022-12-01 07:00:00,2022-12-29 08:00:00,326430.9273740212,336154.12746095785,2.9786393602944106,-1.7459374516121673,13.964045573585015,3,66.66666666666666
